"Title:","mx1.bud.hu - Traffic - ae7 - LAG INFRASTRUCTURE BACKBONE PRA SRF0000001 | bud-pra"
"Vertical Label:","bits per second"
"Start Date:","2020-03-30 23:05:00"
"End Date:","2020-04-01 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47791"
"Host ID:","146"
"Nth Percentile:","0","|95:bits:0:current:2|"
"Nth Percentile:","0","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-31 16:20:00","NaN","NaN","NaN","NaN"
"2020-03-31 16:25:00","NaN","NaN","NaN","NaN"
"2020-03-31 16:30:00","NaN","NaN","NaN","NaN"
"2020-03-31 16:35:00","NaN","NaN","NaN","NaN"
"2020-03-31 16:40:00","NaN","NaN","NaN","NaN"
"2020-03-31 16:45:00","NaN","NaN","NaN","NaN"
"2020-03-31 16:50:00","NaN","NaN","NaN","NaN"
"2020-03-31 16:55:00","NaN","NaN","NaN","NaN"
"2020-03-31 17:00:00","NaN","NaN","NaN","NaN"
"2020-03-31 17:05:00","NaN","NaN","NaN","NaN"
"2020-03-31 17:10:00","NaN","NaN","NaN","NaN"
"2020-03-31 17:15:00","NaN","NaN","NaN","NaN"
"2020-03-31 17:20:00","NaN","NaN","NaN","NaN"
"2020-03-31 17:25:00","NaN","NaN","NaN","NaN"
"2020-03-31 17:30:00","NaN","NaN","NaN","NaN"
"2020-03-31 17:35:00","NaN","NaN","NaN","NaN"
"2020-03-31 17:40:00","NaN","NaN","NaN","NaN"
"2020-03-31 17:45:00","NaN","NaN","NaN","NaN"
"2020-03-31 17:50:00","NaN","NaN","NaN","NaN"
"2020-03-31 17:55:00","NaN","NaN","NaN","NaN"
"2020-03-31 18:00:00","NaN","NaN","NaN","NaN"
"2020-03-31 18:05:00","NaN","NaN","NaN","NaN"
"2020-03-31 18:10:00","NaN","NaN","NaN","NaN"
"2020-03-31 18:15:00","NaN","NaN","NaN","NaN"
"2020-03-31 18:20:00","NaN","NaN","NaN","NaN"
"2020-03-31 18:25:00","NaN","NaN","NaN","NaN"
"2020-03-31 18:30:00","NaN","NaN","NaN","NaN"
"2020-03-31 18:35:00","NaN","NaN","NaN","NaN"
"2020-03-31 18:40:00","NaN","NaN","NaN","NaN"
"2020-03-31 18:45:00","NaN","NaN","NaN","NaN"
"2020-03-31 18:50:00","NaN","NaN","NaN","NaN"
"2020-03-31 18:55:00","NaN","NaN","NaN","NaN"
"2020-03-31 19:00:00","NaN","NaN","NaN","NaN"
"2020-03-31 19:05:00","NaN","NaN","NaN","NaN"
"2020-03-31 19:10:00","NaN","NaN","NaN","NaN"
"2020-03-31 19:15:00","NaN","NaN","NaN","NaN"
"2020-03-31 19:20:00","NaN","NaN","NaN","NaN"
"2020-03-31 19:25:00","NaN","NaN","NaN","NaN"
"2020-03-31 19:30:00","NaN","NaN","NaN","NaN"
"2020-03-31 19:35:00","NaN","NaN","NaN","NaN"
"2020-03-31 19:40:00","NaN","NaN","NaN","NaN"
"2020-03-31 19:45:00","NaN","NaN","NaN","NaN"
"2020-03-31 19:50:00","NaN","NaN","NaN","NaN"
"2020-03-31 19:55:00","NaN","NaN","NaN","NaN"
"2020-03-31 20:00:00","NaN","NaN","NaN","NaN"
"2020-03-31 20:05:00","NaN","NaN","NaN","NaN"
"2020-03-31 20:10:00","NaN","NaN","NaN","NaN"
"2020-03-31 20:15:00","NaN","NaN","NaN","NaN"
"2020-03-31 20:20:00","NaN","NaN","NaN","NaN"
"2020-03-31 20:25:00","NaN","NaN","NaN","NaN"
"2020-03-31 20:30:00","NaN","NaN","NaN","NaN"
"2020-03-31 20:35:00","NaN","NaN","NaN","NaN"
"2020-03-31 20:40:00","NaN","NaN","NaN","NaN"
"2020-03-31 20:45:00","NaN","NaN","NaN","NaN"
"2020-03-31 20:50:00","NaN","NaN","NaN","NaN"
"2020-03-31 20:55:00","NaN","NaN","NaN","NaN"
"2020-03-31 21:00:00","NaN","NaN","NaN","NaN"
"2020-03-31 21:05:00","NaN","NaN","NaN","NaN"
"2020-03-31 21:10:00","NaN","NaN","NaN","NaN"
"2020-03-31 21:15:00","NaN","NaN","NaN","NaN"
"2020-03-31 21:20:00","NaN","NaN","NaN","NaN"
"2020-03-31 21:25:00","NaN","NaN","NaN","NaN"
"2020-03-31 21:30:00","NaN","NaN","NaN","NaN"
"2020-03-31 21:35:00","NaN","NaN","NaN","NaN"
"2020-03-31 21:40:00","NaN","NaN","NaN","NaN"
"2020-03-31 21:45:00","NaN","NaN","NaN","NaN"
"2020-03-31 21:50:00","NaN","NaN","NaN","NaN"
"2020-03-31 21:55:00","NaN","NaN","NaN","NaN"
"2020-03-31 22:00:00","NaN","NaN","NaN","NaN"
"2020-03-31 22:05:00","NaN","NaN","NaN","NaN"
"2020-03-31 22:10:00","NaN","NaN","NaN","NaN"
"2020-03-31 22:15:00","NaN","NaN","NaN","NaN"
"2020-03-31 22:20:00","NaN","NaN","NaN","NaN"
"2020-03-31 22:25:00","NaN","NaN","NaN","NaN"
"2020-03-31 22:30:00","NaN","NaN","NaN","NaN"
"2020-03-31 22:35:00","NaN","NaN","NaN","NaN"
"2020-03-31 22:40:00","NaN","NaN","NaN","NaN"
"2020-03-31 22:45:00","NaN","NaN","NaN","NaN"
"2020-03-31 22:50:00","NaN","NaN","NaN","NaN"
"2020-03-31 22:55:00","NaN","NaN","NaN","NaN"
"2020-03-31 23:00:00","NaN","NaN","NaN","NaN"
"2020-03-31 23:05:00","NaN","NaN","NaN","NaN"
"2020-03-31 23:10:00","NaN","NaN","NaN","NaN"
"2020-03-31 23:15:00","NaN","NaN","NaN","NaN"
"2020-03-31 23:20:00","NaN","NaN","NaN","NaN"
"2020-03-31 23:25:00","NaN","NaN","NaN","NaN"
"2020-03-31 23:30:00","NaN","NaN","NaN","NaN"
"2020-03-31 23:35:00","NaN","NaN","NaN","NaN"
"2020-03-31 23:40:00","NaN","NaN","NaN","NaN"
"2020-03-31 23:45:00","NaN","NaN","NaN","NaN"
"2020-03-31 23:50:00","NaN","NaN","NaN","NaN"
"2020-03-31 23:55:00","NaN","NaN","NaN","NaN"
"2020-04-01 00:00:00","NaN","NaN","NaN","NaN"
"2020-04-01 00:05:00","NaN","NaN","NaN","NaN"
"2020-04-01 00:10:00","NaN","NaN","NaN","NaN"
"2020-04-01 00:15:00","NaN","NaN","NaN","NaN"
"2020-04-01 00:20:00","NaN","NaN","NaN","NaN"
"2020-04-01 00:25:00","NaN","NaN","NaN","NaN"
"2020-04-01 00:30:00","NaN","NaN","NaN","NaN"
"2020-04-01 00:35:00","NaN","NaN","NaN","NaN"
"2020-04-01 00:40:00","NaN","NaN","NaN","NaN"
"2020-04-01 00:45:00","NaN","NaN","NaN","NaN"
"2020-04-01 00:50:00","NaN","NaN","NaN","NaN"
"2020-04-01 00:55:00","NaN","NaN","NaN","NaN"
"2020-04-01 01:00:00","NaN","NaN","NaN","NaN"
